"url","desc","time_string","hour","min","sec","time","type","total_time_in_secs","x"
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-in-a-police-uniform","Fastest marathon dressed in a police uniform","3 hr 09 min 52 sec",3,9,52,"3:09:52","full",11392,1.00916057351643
"https://www.guinnessworldrecords.com/world-records/375245-fastest-marathon-dressed-as-a-caveman-male","Fastest marathon dressed as a caveperson (male)","3 hrs 05 min 11 sec",3,5,11,"3:05:11","full",11111,0.975988647948307
"https://www.guinnessworldrecords.com/world-records/430675-fastest-marathon-dressed-as-a-chef-female","Fastest marathon dressed as a chef (female)","4 hr 54 min 49 sec",4,54,49,"4:54:49","full",17689,0.967723129697481
"https://www.guinnessworldrecords.com/world-records/100077-fastest-marathon-dressed-in-a-sari","Fastest marathon dressed in a sari (female)","3 hr 57 min 7 sec",3,57,7,"3:57:07","full",14227,0.927256887417386
"https://www.guinnessworldrecords.com/world-records/411176-fastest-marathon-dressed-as-an-aircraft-male","Fastest marathon dressed as a three dimensional aircraft (male)","5 hrs 3 min 15 sec",5,3,15,"5:03:15","full",18195,1.02132253471749
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-santa-claus-(female)","Fastest marathon dressed as Santa Claus (female)","3 hr 43 min 20 sec",3,43,20,"3:43:20","full",13400,0.92613550348374
"https://www.guinnessworldrecords.com/world-records/96049-fastest-marathon-dressed-as-a-book-character-female","Fastest marathon dressed as a book character (female)","3 hr 08 min 34 sec",3,8,34,"3:08:34","full",11314,1.09051763597668
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-roman-soldier","Fastest marathon dressed as a Roman soldier (male)","2 hr 57 min",2,57,0,"2:57:00","full",10620,1.0922531786625
"https://www.guinnessworldrecords.com/world-records/457263-fastest-marathon-dressed-as-a-traffic-cone-male","Fastest marathon dressed as a traffic cone (male)","3 hr 45 min 26 sec",3,45,26,"3:45:26","full",13526,1.09977089540499
"https://www.guinnessworldrecords.com/world-records/461811-fastest-marathon-dressed-as-a-lucha-libre-wrestler-male","Fastest marathon dressed as a Lucha libre wrestler (male)","3 hrs 24 min 15 sec",3,24,15,"3:24:15","full",12255,1.06478122944772
"https://www.guinnessworldrecords.com/world-records/446552-fastest-marathon-dressed-as-a-tennis-player-male","Fastest marathon dressed as a tennis player (male)","3 hr 5 min 30 sec",3,5,30,"3:05:30","full",11130,1.06791062433394
"https://www.guinnessworldrecords.com/world-records/449021-fastest-marathon-dressed-as-a-gingerbread-man-female","Fastest marathon dressed as a gingerbread person (female)","3 hrs 46 min 55 sec",3,46,55,"3:46:55","full",13615,1.034021584102
"https://www.guinnessworldrecords.com/world-records/103393-fastest-marathon-dressed-as-a-videogame-character-female","Fastest marathon dressed as a videogame character (female)","3 hr 56 min 18 sec",3,56,18,"3:56:18","full",14178,1.04499176990501
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-tapfaucet-(male)","Fastest marathon dressed as a tap/faucet (male)","3 hr 29 min 55 sec",3,29,55,"3:29:55","full",12595,1.13659815089129
