"url","desc","time_string","hour","min","sec","time","type","total_time_in_secs","outfit","last_update"
"https://www.guinnessworldrecords.com/world-records/458100-fastest-marathon-dressed-as-a-fisherman","Fastest marathon dressed as a fisher","4 hr 37 min 31 sec",4,37,31,"4:37:31","full",16651,"fisher",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-jester","Fastest marathon dressed as a jester","2 hr 59 min 54 sec",2,59,54,"2:59:54","full",10794,"jester",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-viking","Fastest marathon dressed as a Viking","3 hrs 3 min 11 sec",3,3,11,"3:03:11","full",10991,"Viking",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-lifeguard","Fastest marathon dressed as a lifeguard","2 hr 55 min 54 sec",2,55,54,"2:55:54","full",10554,"lifeguard",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-clown","Fastest marathon dressed as a clown","2 hr 42 min 56 sec",2,42,56,"2:42:56","full",9776,"clown",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-boxer","Fastest marathon dressed as a boxer","3 hr 2 min 19 sec",3,2,19,"3:02:19","full",10939,"boxer",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-jockey","Fastest marathon dressed as a jockey","3 hr 7 min 55 sec",3,7,55,"3:07:55","full",11275,"jockey",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-sailor","Fastest marathon dressed as a sailor","2 hr 52 min 32 sec",2,52,32,"2:52:32","full",10352,"sailor",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-cowboy","Fastest marathon dressed as a rancher","2 hr 42 min 14 sec",2,42,14,"2:42:14","full",9734,"rancher",2020-09-06
"https://www.guinnessworldrecords.com/world-records/92823-fastest-marathon-run-dressed-as-a-snowman","Fastest marathon dressed as a snowperson (male)","3 hr 46 min 12 sec",3,46,12,"3:46:12","full",13572,"snowperson (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/474502-fastest-marathon-dressed-as-a-lumberjack-male","Fastest marathon dressed as a lumberjack (male)","3 hr 58 min 26 sec",3,58,26,"3:58:26","full",14306,"lumberjack (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-fairy","Fastest marathon dressed as a fairy (male)","2 hr 49 min 44 sec",2,49,44,"2:49:44","full",10184,"fairy (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-golfer-(male)","Fastest marathon dressed as a golfer (male)","2 hr 59 min 35 sec",2,59,35,"2:59:35","full",10775,"golfer (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-doctor-(male)","Fastest marathon dressed as a doctor (male)","2 hr 50 min 17 sec",2,50,17,"2:50:17","full",10217,"doctor (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/108364-fastest-marathon-dressed-as-a-chef","Fastest marathon dressed as a chef (male)","2 hr 57 min 36 sec",2,57,36,"2:57:36","full",10656,"chef (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/443571-fastest-marathon-dressed-in-pyjamas-male","Fastest marathon dressed in pyjamas (male)","3 hr 7 min 9 sec",3,7,9,"3:07:09","full",11229,"pyjamas (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/110320-fastest-marathon-dressed-as-a-cheerleader-female","Fastest marathon dressed as a cheerleader (female)","3 hr 27 min 14 sec",3,27,14,"3:27:14","full",12434,"cheerleader (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-santa-claus","Fastest marathon dressed as Santa Claus","2 hr 49 min 21 sec",2,49,21,"2:49:21","full",10161,"Santa Claus",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-leprechaun","Fastest marathon dressed as a leprechaun (male)","2 hrs 58 min 01 sec",2,58,1,"2:58:01","full",10681,"leprechaun (male)",2020-09-06
